NameofSatellite,Country/Org of UN Registry,Owner,Users,Purpose,ClassOfOrbit,Perigee (km),Apogee (km),Eccentricity,Inclination,Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime,Launch Site,Launch Vehicle
"Wideband Global Satcom 4 (WGS-4, USA 233)",USA,"Military Satellite Communications - US Air Force,USA",Military,Communications,GEO,"35,785","35,786",1.19E-05,0.01,1436.1,"5,990",20/01/2012,null,Cape Canaveral,Delta 4
"Wideband Global Satcom 5 (WGS-5, USA 243)",USA,"Military Satellite Communications - US Air Force,USA",Military,Communications,GEO,"35,739","35,784",5.34E-04,0,1436.1,"5,990",25/05/2013,null,Cape Canaveral,Delta 4
"Wideband Global Satcom 6 (WGS-6, USA 244)",USA,"Military Satellite Communications - US Air Force,USA",Military,Communications,GEO,"35,772","35,801",3.44E-04,0,1436.1,"5,990",8/8/2013,null,Cape Canaveral,Delta 4
"Wideband Global Satcom 7 (WGS-7, USA 263)",USA,"Military Satellite Communications - US Air Force,USA",Military,Communications,GEO,"35,772","35,801",3.44E-04,0,1436.1,"5,990",24/07/2015,null,Cape Canaveral,Delta 4
"Wideband Global Satcom 8 (WGS-8, USA 272)",NR (1/17),"Military Satellite Communications - US Air Force,USA",Military,Communications,GEO,"35,770","35,770",0.00E+00,0,1436.1,"5,990",7/12/2016,null,Cape Canaveral,Delta 4
"Wideband Global Satcom 9 (WGS-9, USA 275)",NR (9/17),"Military Satellite Communications - US Air Force,USA",Military,Communications,GEO,"35,772","35,801",3.44E-04,0,1436.1,"5,990",17/03/2017,null,Cape Canaveral,Delta 4
WildBlue 1,USA,"WildBlue Communications,USA",Commercial,Communications,GEO,"35,776","35,796",2.37E-04,0.01,1436.1,"4,735",8/12/2006,12 yrs.,Guiana Space Center,Ariane 5
WNISat-1 (Weather News Inc. Satellite 1),Japan,"Weathernews, Inc.,Japan",Commercial,Earth Observation,LEO,594,849,1.80E-02,97.8,99.2,10,21/11/2013,2 yrs.,Dombarovsky Air Base,Dnepr
WNISat-1R (Weather News Inc. Satellite 1R),NR (10/17),"Weathernews, Inc.,Japan",Commercial,Earth Observation,LEO,586,606,1.44E-03,97.6,96.6,43,14/07/2017,null,Baikonur Cosmodrome,Soyuz 2.1a
Worldview 1,USA,"DigitalGlobe Corporation,USA",Commercial,Earth Observation,LEO,491,494,2.19E-04,97.3,94.5,"4,500",18/09/2007,7.25 yrs.,Vandenberg AFB,Delta 2
Worldview 2,USA,"DigitalGlobe Corporation,USA",Commercial,Earth Observation,LEO,765,767,1.40E-04,98.5,100.2,"2,800",8/10/2009,null,Vandenberg AFB,Delta 2
Worldview 3,USA,"DigitalGlobe Corporation,USA",Commercial,Earth Observation,LEO,612,614,1.43E-04,97.99,96.96,"2,800",13/08/2014,10-12 yrs.,Vandenberg AFB,Atlas 5
Worldview 4,NR (12/16),"DigitalGlobe Corporation,USA",Commercial,Earth Observation,LEO,617,620,2.15E-04,98,96.9,"2,485",11/11/2016,10 yrs.,Vandenberg AFB,Atlas 5
X37-B OTV-4 (USA 261),NR,"US Air Force,USA",Military,Technology Development,LEO,309,322,1.19E-03,38,90.83,"4,990",20/05/2015,null,Cape Canaveral,Atlas 5
XC-1 (Xingchen 1),NR,"National University of Defense Technology,China",Government,Technology Development,LEO,520,540,1.19E-03,97.46,95.23,1,19/09/2015,null,Taiyuan Launch Center,Long March 6
XC-2 (Xingchen 2),NR,"National University of Defense Technology,China",Government,Technology Development,LEO,520,540,1.19E-03,97.46,95.23,1,19/09/2015,null,Taiyuan Launch Center,Long March 6
XC-3 (Xingchen 3),NR,"National University of Defense Technology,China",Government,Technology Development,LEO,520,540,1.19E-03,97.46,95.23,1,19/09/2015,null,Taiyuan Launch Center,Long March 6
XC-4 (Xingchen 4),NR,"National University of Defense Technology,China",Government,Technology Development,LEO,520,540,1.19E-03,97.46,95.23,1,19/09/2015,null,Taiyuan Launch Center,Long March 6
XCubeSat (QB50 - FR01),NR (10/17),"Ecole Polytechnique,France",Civil,Technology Demonstration,LEO,401,403,1.19E-03,51.6,92.6,3,18/04/2017,null,International Space Station,Nanorack Deployer
Xinyan 1 (XY-1),NR,"DFH Satellite,China",Government,Technology Development,LEO,489,501,8.74E-04,97.35,94.51,null,18/11/2012,null,Taiyuan Launch Center,Long March 2C
XM Radio 3 (Rhythm),USA,"XM Satellite Radio USA,USA",Commercial,Communications,GEO,"35,782","35,790",9.49E-05,0.01,1436.1,"4,703",1/3/2005,15 yrs.,Sea Launch Odyssey,Zenit 3SL
XM Radio 4 (Blues),USA,"XM Satellite Radio USA,USA",Commercial,Communications,GEO,"35,784","35,787",3.56E-05,0.01,1436.09,"5,193",30/10/2006,15 yrs.,Sea Launch Odyssey,Zenit 3SL
XMM Newton (High Throughput X-ray Spectroscopy Mission),ESA,"European Space Operations Centre (ESOC),ESA",Government,Space Science,Elliptical,"7,079","114,027",7.99E-01,38.4,"2,872.15","3,764",10/12/1999,2-10 yrs.,Guiana Space Center,Ariane 5
XPNav-1,NR (12/16),"China Aerospace Science and Technology Corp.,China",Government,Technology Development,LEO,493,513,1.45E-03,97.4,94.68,240,9/11/2016,null,Jiuquan Satellite Launch Center,Long March 11
X-Sat,NR,"Centre for Research in Satellite Technology (CREST),Singapore",Government,Earth Observation,LEO,801,823,1.53E-03,98.7,101.1,91,20/04/2011,3 yrs.,Satish Dhawan Space Centre,PSLV C16
XTAR-EUR,USA,"Ministry of Defense/XTAR,Spain",Military/Government,Communications,GEO,"35,778","35,792",1.66E-04,0.1,1436.06,"3,631",12/2/2005,15 yrs.,Guiana Space Center,Ariane 5 ECA
"XW-1 (Hope Oscar 68, HO-68, Xi Wang 1, Hope-1, CAS-1)",China,"DFH Satellite/AMSAT-China,China",Civil,Communications,LEO,"1,193","1,205",7.93E-04,100.3,109.4,60,15/12/2009,null,Taiyuan Launch Center,Long March 4C
XW-2A (CAS-3A),NR,"Chinese Amateur Satellite (CAMSAT),China",Civil,Communications,LEO,518,535,1.23E-03,97.46,95.17,25,19/09/2015,null,Taiyuan Launch Center,Long March 6
XW-2B (CAS-3B),NR,"Chinese Amateur Satellite (CAMSAT),China",Civil,Communications,LEO,520,539,1.38E-03,97.46,95.22,10,19/09/2015,null,Taiyuan Launch Center,Long March 6
XW-2C (CAS-3C),NR,"Chinese Amateur Satellite (CAMSAT),China",Civil,Communications,LEO,519,538,1.38E-03,97.46,95.21,10,19/09/2015,null,Taiyuan Launch Center,Long March 6
XW-2D (CAS-3D),NR,"Chinese Amateur Satellite (CAMSAT),China",Civil,Communications,LEO,520,539,1.38E-03,97.46,95.22,10,19/09/2015,null,Taiyuan Launch Center,Long March 6
XW-2E (CAS-3E),NR,"Chinese Amateur Satellite (CAMSAT),China",Civil,Communications,LEO,519,538,1.38E-03,97.46,95.2,2,19/09/2015,null,Taiyuan Launch Center,Long March 6
XW-2F (CAS-3F),NR,"Chinese Amateur Satellite (CAMSAT),China",Civil,Communications,LEO,520,540,1.45E-03,97.46,95.23,2,19/09/2015,null,Taiyuan Launch Center,Long March 6
XY-S1 (Xingyun Shiyan-1),NR (9/17),"Chinese Aerospace Science and Technology Corp.,China",Government,Technology Development,LEO,529,541,8.69E-04,97.54,95.33,2,9/1/2017,null,Jiuquan Satellite Launch Center,Kuaizhou
Yahsat-1A (Y1A),United Arab Emirates,"Al Yah Satellite Communications Company (YAHSAT),United Arab Emirates",Military/Commercial,Communications,GEO,"35,743","35,823",9.49E-04,0.04,1435.92,"5,953",22/04/2011,15 yrs.,Guiana Space Center,Ariane 5
Yahsat-1B (Y1B),United Arab Emirates,"Al Yah Satellite Communications Company (YAHSAT),United Arab Emirates",Military/Commercial,Communications,GEO,"35,780","35,791",1.30E-04,0,1436.07,"6,000",23/04/2012,null,Baikonur Cosmodrome,Proton M
Yamal-202 ,Russia,"Gazprom Space Systems,Russia",Commercial,Communications,GEO,"35,774","35,796",2.61E-04,0.04,1436.06,"1,320",24/11/2003,12 yrs.,Baikonur Cosmodrome,Proton K
Yamal-300K,Russia,"Gaxprom Space Systems,Russia",Commercial,Communications,GEO,"35,694","35,866",2.04E-03,0.14,1435.76,"1,640",2/11/2012,null,Baikonur Cosmodrome,Proton M
Yamal-401,Russia,"Gazprom Space Systems,Russia",Commercial,Communications,GEO,"35,761","35,822",7.23E-04,0.03,1436.33,"2,976",15/12/2014,15 yrs.,Baikonur Cosmodrome,Proton M
Yamal-402,Russia,"Gazprom Space Systems,Russia",Commercial,Communications,GEO,"35,784","35,789",5.93E-05,0.06,1436.11,"4,463",8/12/2012,11 yrs.,Baikonur Cosmodrome,Proton M
Yaogan 10 (Remote Sensing Satellite 10),China,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,625,628,2.14E-04,97.8,97.2,null,9/8/2010,null,Taiyuan Launch Center,Long March 4C
Yaogan 11 (Remote Sensing Satellite 11),China,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,626,668,2.99E-03,97.9,97.7,null,22/09/2010,null,Jiuquan Satellite Launch Center,Long March 2D
Yaogan 12 (Remote Sensing Satellite 12),China,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,487,496,6.56E-04,97.4,94.4,null,9/11/2011,null,Taiyuan Launch Center,Long March 4B
Yaogan 13 (Remote Sensing Satellite 13),China,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,506,507,7.27E-05,97.4,94.8,null,29/11/2011,null,Taiyuan Launch Center,Long March 2C
Yaogan 14 (Remote Sensing Satellite 14),China,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,469,481,8.77E-04,97.3,94.1,null,10/5/2012,null,Taiyuan Launch Center,Long March 4B
Yaogan 15 (Remote Sensing Satellite 15),China,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,"1,201","1,207",3.96E-04,100.2,109.5,"1,040",29/05/2012,null,Taiyuan Launch Center,Long March 4C
"Yaogan 16A (Remote Sensing Satellite 16A, Yaogan Weixing 16)",China,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,"1,080","1,089",6.04E-04,63.38,106.93,null,25/11/2012,null,Jiuquan Satellite Launch Center,Long March 4C
Yaogan 16B (Remote Sensing Satellite 16B),NR,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,"1,079","1,090",7.38E-04,63.38,106.93,null,25/11/2012,null,Jiuquan Satellite Launch Center,Long March 4C
Yaogan 16C (Remote Sensing Satlelite 16C),NR,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,"1,032","1,081",3.30E-03,63.38,106.33,null,25/11/2012,null,Jiuquan Satellite Launch Center,Long March 4C
"Yaogan 17A (Remote Sensing Satellite 17A, Yaogan Weixing 17)",China,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,"1,076","1,111",2.34E-03,63.41,107.12,null,1/9/2013,null,Jiuquan Satellite Launch Center,Long March 4C
Yaogan 17B (Remote Sensing Satellite 17B),NR,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,"1,080","1,111",2.08E-03,63.42,107.13,null,1/9/2013,null,Jiuquan Satellite Launch Center,Long March 4C
Yaogan 17C (Remote Sensing Satellite 17C),NR,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,890,"1,112",1.51E-02,63.47,105.14,null,1/9/2013,null,Jiuquan Satellite Launch Center,Long March 4C
Yaogan 18 (Remote Sensing Satellite 18),China,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,509,513,2.91E-04,97.54,94.84,null,29/10/2013,null,Taiyuan Launch Center,Long March 2C
Yaogan 19 (Remote Sensing Satellite 19),China,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,"1,201","1,207",3.96E-04,100.48,109.51,null,20/11/2013,null,Taiyuan Launch Center,Long March 4C
Yaogan 20A (Remote Sensing Satellite 20A),NR,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,"1,085","1,095",6.70E-04,63.4,107.05,null,9/8/2014,null,Jiuquan Satellite Launch Center,Long March 4C
Yaogan 20B (Remote Sensing Satellite 20B),NR,"People's Liberation Army (C41),China",Military ,Earth Observation,LEO,"1,087","1,093",4.02E-04,63.4,107.05,null,9/8/2014,null,Jiuquan Satellite Launch Center,Long March 4C
Yaogan 20C (Remote Sensing Satellite 20C),NR,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,"1,087","1,094",4.69E-04,63.4,107.05,null,9/8/2014,null,Jiuquan Satellite Launch Center,Long March 4C
Yaogan 21 (Remote Sensing Satellite 21),NR,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,480,494,1.02E-03,97.42,94.35,null,8/9/2014,null,Taiyuan Launch Center,Long March 4B
Yaogan 22 (Remote Sensing Satellite 22),NR,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,"1,196","1,209",8.58E-04,100.32,109.48,null,20/10/2014,null,Taiyuan Launch Center,Long March 4C
Yaogan 23 (Remote Sensing Satellite 23),NR,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,492,513,1.53E-03,97.33,94.67,null,14/11/2014,null,Taiyuan Launch Center,Long March 2C
Yaogan 24 (Remote Sensing Satellite 24),NR,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,630,653,1.64E-03,97.91,97.55,null,20/11/2014,null,Jiuquan Satellite Launch Center,Long March 2C
Yaogan 25A (Remote Sensing Satellite 25A),NR,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,"1,089","1,097",5.36E-04,63.41,107.12,null,10/12/2014,null,Jiuquan Satellite Launch Center,Long March 4C
Yaogan 25B (Remote Sensing Satellite 25B),NR,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,"1,083","1,093",6.70E-04,63.42,107.01,null,10/12/2014,null,Jiuquan Satellite Launch Center,Long March 4C
Yaogan 25C (Remote Sensing Satellite 25C),NR,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,"1,092","1,113",1.41E-03,63.4,107.31,null,10/12/2014,null,Jiuquan Satellite Launch Center,Long March 4C
Yaogan 26 (Remote Sensing Satellite 26),NR,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,487,491,2.92E-04,97.44,94.39,null,27/12/2014,null,Taiyuan Launch Center,Long March 4B
Yaogan 27 (Remote Sensing Satellite 27),NR,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,"1,201","1,213",7.92E-04,100.5,109.4,null,27/08/2015,null,Taiyuan Launch Center,Long March 4C
Yaogan 28 (Remote Sensing Satellite 28),NR,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,460,482,1.61E-03,97.24,94.02,"1,040",8/11/2015,null,Taiyuan Launch Center,Long March 4B
Yaogan 29 (Remote Sensing Satellite 29),NR,"People's Liberation Army (C41),China",Military,Earth Observation,LEO,628,629,7.14E-05,97.85,97.28,"1,040",26/11/2015,null,Taiyuan Launch Center,Long March 4C
Yaogan 30 (Remote Sensing Satellite 30),NR (12/16),"People's Liberation Army (C41),China",Military,Earth Observation,LEO,628,656,2.00E-03,98.07,97.57,"2,700",15/05/2016,null,Jiuquan Satellite Launch Center,Long March 2D
Yaogan 4 (Remote Sensing Satellite 4),China,"People's Liberation Army (C41),China",Government,Earth Observation,LEO,635,658,1.64E-03,97.8,97.7,"2,700",1/12/2008,null,Jiuquan Satellite Launch Center,Long March 2D
"Yaogan 6 (Remote Sensing Satellite 6, Jian Bing 7-A)",China,"People's Liberation Army (C41),China",Government,Earth Observation,LEO,511,512,7.27E-05,97.3,94.9,"1,800",22/04/2009,null,Taiyuan Launch Center,Long March 2C
Yaogan 7 (Remote Sensing Satellite 7),China,"People's Liberation Army (C41),China",Government,Earth Observation,LEO,628,665,2.64E-03,98,97.7,"2,700",9/12/2009,null,Jiuquan Satellite Launch Center,Long March 2D
Yaogan 8 (Remote Sensing Satellite 8),China,"People's Liberation Army (C41),China",Government,Earth Observation,LEO,"1,192","1,205",8.59E-04,100.3,109.4,null,15/12/2009,null,Taiyuan Launch Center,Long March 4C
Yaogan 9A (Remote Sensing Satellite 9A),China,"People's Liberation Army (C41),China",Government,Earth Observation,LEO,"1,017","1,164",9.85E-03,63.4,107.1,null,5/3/2010,null,Jiuquan Satellite Launch Center,Long March 4C
Yaogan 9B (Remote Sensing Satellite 9B),NR,"People's Liberation Army (C41),China",Government,Earth Observation,LEO,"1,017","1,164",9.85E-03,63.4,107.1,null,5/3/2010,null,Jiuquan Satellite Launch Center,Long March 4C
Yaogan 9C (Remote Sensing Satellite 9C),NR,"People's Liberation Army (C41),China",Government,Earth Observation,LEO,"1,017","1,164",9.85E-03,63.4,107.1,null,5/3/2010,null,Jiuquan Satellite Launch Center,Long March 4C
Youthsat,India,"Indian Space Research Organization (ISRO),India",Government,Space Science,LEO,802,824,1.53E-03,98.7,101.2,92,20/04/2011,2 yrs.,Satish Dhawan Space Centre,PSLV C16
"Yubileiny (Jubilejnyj, Radio Sputnik 30 (RS-30))",Russia,"Research Laboratory of Aerospace Technology (NILAKT ROSTO),Russia",Civil,Technology Development,LEO,"1,479","1,508",1.84E-03,82.5,115.8,45,23/05/2008,null,Plesetsk Cosmodrome,Rokot
Yunhai-1,NR (12/16),"Shanghai Academy of Spaceflight Technology (SAST),China",Government,Earth Observation,LEO,747,798,3.57E-03,98.35,100.2,null,11/11/2016,null,Jiuquan Satellite Launch Center,Long March 2D
ZA-Aerosat (QB50 - AZ01),NR (10/17),"Stellenbosch University,South Africa",Civil,Earth Science,LEO,402,403,7.38E-05,51.6,92.4,4,18/05/2017,null,International Space Station,Nanorack Deployer
"Zhangguo Ziyuan 2C (ZY-2C, JB-3C)",China,"Chinese Academy of Space Technology,China",Military,Earth Observation,LEO,555,606,3.67E-03,97.2,96.3,null,4/11/2004,3-5 yrs.,Taiyuan Launch Center,Chang Zheng 4B
"Zheda Pixing 1B (ZP-1B, Zhejiang University-1B)",China,"Zhejiang University,China",Civil,Space Science,LEO,619,653,2.43E-03,97.9,97.4,4,22/09/2010,null,Jiuquan Satellite Launch Center,Long March 2D
"Zheda Pixing 1C (ZP-1C, Zhejiang University-1B",China,"Zhejiang University,China",Civil,Space Science,LEO,620,653,2.35E-03,97.9,97.5,4,22/09/2010,null,Jiuquan Satellite Launch Center,Long March 2D
"Zheda Pixing 2A (ZP-2A, ZDP-2A)",NR,"Zhejiang University,China",Civil,Technology Development,LEO,517,534,1.23E-03,97.46,95.15,12,19/09/2015,null,Taiyuan Launch Center,Long March 6
"Zheda Pixing 2B (ZP-2B, ZDP-2B)",NR,"Zhejiang University,China",Civil,Technology Development,LEO,517,535,1.31E-03,97.45,95.16,12,19/09/2015,null,Taiyuan Launch Center,Long March 6
"Zhongxing 10 (XZ-10, Chinasat 10)",China,"China Satellite Communication Corp. (China Satcom),China",Government,Communications,GEO,"35,775","35,797",2.61E-04,0.17,1436.05,"5,000",20/06/2011,15 yrs.,Xichang Satellite Launch Center,Long March 3B
"Zhongxing 12 (Chinasat 12, SupremeSat-1, Apstar 7B, ZX-12)",China/Sri Lanka,"China Satellite Communication Corp. (China Satcom),China",Government,Communications,GEO,"35,759","35,807",5.69E-04,0.04,1435.92,"5,500",27/11/2012,null,Xichang Satellite Launch Center,Long March 3B
"Zhongxing 1A (Chinasat 1A, Fenghuo 2)",China,"People's Liberation Army (C41),China",Military,Communications,GEO,"35,778","35,796",2.13E-04,0.3,1436.13,"5,200",18/09/2011,null,Xichang Satellite Launch Center,Long March 3B
Zhongxing 20A ,China,"People's Liberation Army (C41),China",Military,Communications,GEO,"35,773","35,799",3.08E-04,0.55,1436.05,"2,300",24/11/2010,null,Xichang Satellite Launch Center,Long March 3B
Zhongxing 22A (Chinastar 22A),China,"China Satellite Communication Corp. (China Satcom),China",Military,Communications,GEO,"35,767","35,807",4.74E-04,0.07,1436.1,"2,300",12/9/2006,null,Xichang Satellite Launch Center,Long March 3A
Zhongxing 2A (Chinasat 2A),China,"People's Liberation Army (C41),China",Military/Government,Communications,GEO,"35,781","35,792",1.30E-04,0.19,1436.09,"5,200",26/05/2012,null,Xichang Satellite Launch Center,Long March 3B
"Zhongxing 9 (Chinasat 9, Chinastar 9)",China,"China Satellite Communication Corp. (China Satcom),China",Government,Communications,GEO,"35,759","35,812",6.29E-04,0.03,1436.1,null,9/6/2008,null,Xichang Satellite Launch Center,Long March 3B
Zhuhai-1-01 (OVS-1A),NR (10/17),"Zhuhai Orbita Control Engineering Co. Ltd.,China",Commercial,Earth Observation,LEO,533,545,8.68E-04,43.02,95.42,55,15/06/2017,null,Jiuquan Satellite Launch Center,Long March 4B
Zhuhai-1-02 (OVS-1B),NR (10/17),"Zhuhai Orbita Control Engineering Co. Ltd.,China",Commercial,Earth Observation,LEO,533,545,8.68E-04,43.02,95.42,55,15/06/2017,null,Jiuquan Satellite Launch Center,Long March 4B
Zijing 1,NR,"Tsinghua University,China",Civil,Technology Development,LEO,520,540,1.45E-03,97.46,95.23,1,19/09/2015,null,Taiyuan Launch Center,Long March 6
Ziyuan 1-02C,China,"China Centre for Resources Satellite Data and Application (CRESDA),China",Government,Earth Observation,LEO,763,773,7.00E-04,98.56,100.2,"1,500",22/12/2011,null,Taiyuan Launch Center,Long March 4B
Ziyuan 3 (ZY-3),China,"China Centre for Resources Satellite Data and Application (CRESDA),China",Government,Earth Observation,LEO,500,504,2.91E-04,97.5,94.7,"2,650",9/1/2012,4 yrs.,Taiyuan Launch Center,Long March 4B
Ziyuan 3-2,NR (12/16),"China Centre for Resources Satellite Data and Application (CRESDA),China",Government,Earth Observation,LEO,487,500,9.47E-04,97.5,94.49,"2,630",29/05/2016,4 yrs.,Taiyuan Launch Center,Long March 4B
